top - 11:49:55 up  1:52,  1 user,  load average: 0.16, 0.23, 0.40
Tasks: 260 total,   1 running, 196 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.5 us,  1.3 sy,  0.0 ni, 93.7 id,  0.4 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 12268392 total,  1377392 free,  2394016 used,  8496984 buff/cache
KiB Swap:  2097148 total,  2095600 free,     1548 used.  9410196 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  129 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
  130 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 acpi_thermal_pm
  131 root      20   0       0      0      0 S   0.0  0.0   0:00.01 scsi_eh_0
  132 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_0
  133 root      20   0       0      0      0 S   0.0  0.0   0:00.01 scsi_eh_1
  134 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_1
  136 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 vfio-irqfd-clea
  138 root      20   0       0      0      0 I   0.0  0.0   0:00.94 kworker/4:1-eve
  139 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_addrconf
  148 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
  151 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u17:0
  152 root      20   0       0      0      0 I   0.0  0.0   0:01.44 kworker/2:1-eve
  165 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 charger_manager
  181 root      20   0       0      0      0 I   0.0  0.0   0:00.85 kworker/6:1-eve
  213 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/7:1-eve
  232 root      20   0       0      0      0 I   0.0  0.0   0:00.85 kworker/7:2-mm_
  240 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  241 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_2
  243 root       0 -20       0      0      0 I   0.0  0.0   0:00.53 kworker/2:1H-kb
  244 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/0:2-eve
  245 root       0 -20       0      0      0 I   0.0  0.0   0:00.52 kworker/0:1H-kb
  266 root       0 -20       0      0      0 I   0.0  0.0   0:00.70 kworker/4:1H-kb
  268 root       0 -20       0      0      0 I   0.0  0.0   0:00.79 kworker/6:1H-kb
  269 root      20   0       0      0      0 S   0.0  0.0   0:00.57 jbd2/sda1-8
  270 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-conver
  272 root       0 -20       0      0      0 I   0.0  0.0   0:00.65 kworker/5:1H-kb
  281 root       0 -20       0      0      0 I   0.0  0.0   0:00.76 kworker/3:1H-kb
  286 root       0 -20       0      0      0 I   0.0  0.0   0:00.73 kworker/7:1H-kb
  289 root       0 -20       0      0      0 I   0.0  0.0   0:00.59 kworker/1:1H-kb
  313 root      19  -1   94960  11776  10888 S   0.0  0.1   0:00.33 systemd-journal
  326 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:2-pm
  334 root      20   0   46464   4488   3012 S   0.0  0.0   0:00.24 systemd-udevd
  339 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop0
  363 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop1
  384 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop2
  408 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop3
  409 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop4
  410 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop5
  445 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop6
  459 systemd+  20   0   70624   5876   5236 S   0.0  0.0   0:00.16 systemd-resolve
  466 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iprt-VBoxWQueue
  487 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop7
  548 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/4:2-eve
  551 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cryptd
  557 root     -51   0       0      0      0 S   0.0  0.0   0:01.23 irq/18-vmwgfx
  559 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ttm_swap
  571 root      20   0  110420   2072   1852 S   0.0  0.0   0:00.40 irqbalance
  572 root      20   0  434328   6412   5000 S   0.0  0.1   0:00.07 ModemManager
  574 root      20   0 1898160  15548   3352 S   0.0  0.1   0:01.23 snapd
  575 root      20   0  287644   6676   5740 S   0.0  0.1   0:00.44 accounts-daemon
  576 root      20   0    4556    876    816 S   0.0  0.0   0:00.08 acpid
  578 root      20   0  503076   9588   7480 S   0.0  0.1   0:00.08 udisksd
  582 syslog    20   0  263040   3892   3124 S   0.0  0.0   0:00.11 rsyslogd
  583 root      20   0  170532  16752   8836 S   0.0  0.1   0:00.11 networkd-dispat
  594 root      20   0   70460   5624   4988 S   0.0  0.0   0:00.13 systemd-logind
  596 avahi     20   0   47264   3088   2752 S   0.0  0.0   0:00.05 avahi-daemon
  599 message+  20   0   51508   5720   3836 S   0.0  0.0   0:01.59 dbus-daemon
  626 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/5:2-eve
  658 avahi     20   0   47080    336      0 S   0.0  0.0   0:00.00 avahi-daemon
  715 root      20   0   45236   3840   3296 S   0.0  0.0   0:00.11 wpa_supplicant
  716 root      20   0  558592  12944  10148 S   0.0  0.1   0:00.53 NetworkManager
  718 root      20   0   31324   3196   2912 S   0.0  0.0   0:00.01 cron
  727 root      20   0  293000   8688   6092 S   0.0  0.1   0:00.12 polkitd
  739 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/6:2-eve
