top - 11:33:55 up  1:36,  1 user,  load average: 0.09, 0.24, 0.26
Tasks: 257 total,   1 running, 193 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.3 us,  1.3 sy,  0.0 ni, 93.8 id,  0.4 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 12268392 total,  3227744 free,  2276188 used,  6764460 buff/cache
KiB Swap:  2097148 total,  2095856 free,     1292 used.  9517708 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  127 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
  129 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
  130 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 acpi_thermal_pm
  131 root      20   0       0      0      0 S   0.0  0.0   0:00.01 scsi_eh_0
  132 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_0
  133 root      20   0       0      0      0 S   0.0  0.0   0:00.01 scsi_eh_1
  134 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_1
  136 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 vfio-irqfd-clea
  138 root      20   0       0      0      0 I   0.0  0.0   0:00.85 kworker/4:1-eve
  139 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_addrconf
  148 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
  151 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u17:0
  152 root      20   0       0      0      0 I   0.0  0.0   0:01.32 kworker/2:1-eve
  165 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 charger_manager
  181 root      20   0       0      0      0 I   0.0  0.0   0:00.80 kworker/6:1-eve
  213 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/7:1-eve
  232 root      20   0       0      0      0 I   0.0  0.0   0:00.79 kworker/7:2-eve
  240 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  241 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_2
  243 root       0 -20       0      0      0 I   0.0  0.0   0:00.42 kworker/2:1H-kb
  244 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/0:2-eve
  245 root       0 -20       0      0      0 I   0.0  0.0   0:00.47 kworker/0:1H-kb
  266 root       0 -20       0      0      0 I   0.0  0.0   0:00.69 kworker/4:1H-kb
  268 root       0 -20       0      0      0 I   0.0  0.0   0:00.76 kworker/6:1H-kb
  269 root      20   0       0      0      0 S   0.0  0.0   0:00.52 jbd2/sda1-8
  270 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-conver
  272 root       0 -20       0      0      0 I   0.0  0.0   0:00.59 kworker/5:1H-kb
  281 root       0 -20       0      0      0 I   0.0  0.0   0:00.67 kworker/3:1H-kb
  286 root       0 -20       0      0      0 I   0.0  0.0   0:00.67 kworker/7:1H-kb
  289 root       0 -20       0      0      0 I   0.0  0.0   0:00.56 kworker/1:1H-kb
